epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1045,1.2566,2.32049,1.64749,0.46845,0.59306,0.58662,0.52537,0.87263,2.3769,1.68654,2e-05,2e-05,2e-05
2,14.3964,1.09165,2.28662,1.44205,0.47052,0.59788,0.5889,0.52615,0.89864,2.38996,1.68026,5.9406e-05,5.9406e-05,5.9406e-05
3,16.8334,1.07193,2.1673,1.44891,0.85649,0.83333,0.87192,0.66142,0.95514,2.12313,1.58509,9.802e-05,9.802e-05,9.802e-05
4,20.3589,0.92453,1.31589,1.39986,0.914,1,0.995,0.63609,1.06551,2.52091,1.45093,0.000135842,0.000135842,0.000135842
5,24.0454,1.0853,1.17251,1.52172,0.99117,1,0.995,0.60662,1.10402,1.07013,1.92783,0.000172872,0.000172872,0.000172872
6,26.708,1.13428,1.00034,1.42596,0.6278,1,0.91333,0.347,1.41894,2.59109,2.5585,0.00020911,0.00020911,0.00020911
7,29.1848,0.88816,0.91686,1.25773,0.98691,1,0.995,0.55018,1.12432,1.48806,2.06562,0.000244556,0.000244556,0.000244556
8,31.7147,0.88615,0.81293,1.28563,0.97259,1,0.995,0.59875,1.30408,0.87499,2.31497,0.00027921,0.00027921,0.00027921
9,34.1436,1.03011,0.88715,1.45542,1,0.89189,0.995,0.53246,1.6197,1.17681,2.79765,0.000313072,0.000313072,0.000313072
10,37.2395,0.95989,0.89059,1.35635,0.79755,0.6585,0.64614,0.32312,2.03223,2.23338,3.93746,0.000346142,0.000346142,0.000346142
11,40.5761,0.93868,0.85625,1.289,0.57024,0.5,0.38667,0.23413,1.8465,2.59697,3.94791,0.00037842,0.00037842,0.00037842
12,43.6823,0.87413,0.77618,1.2611,0.81901,0.33333,0.4329,0.20971,2.26618,3.079,2.59292,0.000409906,0.000409906,0.000409906
13,46.1562,0.90695,0.80788,1.31293,0.1495,0.16667,0.08864,0.03408,3.42263,5.59769,3.8122,0.0004406,0.0004406,0.0004406
14,48.6012,0.9452,0.84682,1.31757,0.21528,0.33333,0.13917,0.0284,3.42548,5.37694,4.28453,0.000470502,0.000470502,0.000470502
15,51.1109,0.94093,0.9265,1.26714,0.06531,0.33333,0.03263,0.01036,3.87717,8.84286,4.2705,0.000499612,0.000499612,0.000499612
16,53.8927,0.94459,0.83844,1.34724,0.00222,0.66667,0.0069,0.0019,4.24691,8.42078,4.63261,0.00052793,0.00052793,0.00052793
17,57.1904,1.10147,0.86519,1.45541,0.07451,0.16667,0.01831,0.00338,3.67687,9.08482,4.43233,0.000555456,0.000555456,0.000555456
18,60.5249,0.85171,0.75678,1.21064,0.2263,0.16667,0.06678,0.00793,3.39982,5.72088,4.73235,0.00058219,0.00058219,0.00058219
19,62.9885,0.91719,0.72697,1.30799,0.45828,0.16667,0.09616,0.03183,2.16696,3.46014,2.90852,0.000608132,0.000608132,0.000608132
20,65.4608,1.08355,1.01217,1.49302,0.82346,0.16667,0.21688,0.1088,2.45526,2.90012,4.26463,0.000633282,0.000633282,0.000633282
21,67.8912,1.14171,0.95728,1.43758,0.3793,0.33333,0.25299,0.19121,2.13499,2.17494,3.52351,0.00065764,0.00065764,0.00065764
22,70.5469,1.1097,1.01802,1.4345,0.91008,0.16667,0.2405,0.11295,2.4475,3.15388,3.62396,0.000681206,0.000681206,0.000681206
23,74.0263,1.11906,1.08701,1.40448,0.22234,0.16667,0.04327,0.02123,2.32312,4.3822,3.49926,0.00070398,0.00070398,0.00070398
24,77.5301,1.25446,1.09747,1.54065,0.01934,0.16667,0.00716,0.00358,2.68568,4.91632,3.84932,0.000725962,0.000725962,0.000725962
25,79.9881,1.06824,0.9035,1.40339,0.00056,0.16667,0.00217,0.00087,2.65356,5.58406,4.04692,0.000747152,0.000747152,0.000747152
26,82.4677,1.07987,0.96977,1.39131,0.00056,0.16667,0.00217,0.00087,4.27761,4.90119,5.89,0.00076755,0.00076755,0.00076755
27,85.019,0.98828,0.88821,1.3397,0.00862,0.83333,0.0276,0.01033,3.09847,3.63316,4.92555,0.000787156,0.000787156,0.000787156
28,87.5498,1.18147,0.9498,1.44981,0.00862,0.83333,0.0276,0.01033,3.09847,3.63316,4.92555,0.00080597,0.00080597,0.00080597
29,91.0155,1.12239,0.99552,1.44631,0.26218,0.5,0.28234,0.13847,2.48739,4.12757,3.36205,0.000823992,0.000823992,0.000823992
30,94.3653,1.02699,0.87659,1.32875,0.6532,0.66667,0.5432,0.16722,2.08144,2.32833,3.10453,0.000841222,0.000841222,0.000841222
31,96.8176,1.06774,0.87428,1.46424,0.6532,0.66667,0.5432,0.16722,2.08144,2.32833,3.10453,0.00085766,0.00085766,0.00085766
32,99.3186,1.08985,0.92721,1.43101,0.54638,0.5,0.48151,0.09782,3.07606,2.58894,4.99617,0.000873306,0.000873306,0.000873306
33,101.771,1.27491,1.05086,1.54401,0.17851,0.33333,0.07283,0.03316,3.21452,5.67239,4.62496,0.00088816,0.00088816,0.00088816
34,104.181,1.15439,1.09708,1.46563,0.17851,0.33333,0.07283,0.03316,3.21452,5.67239,4.62496,0.000902222,0.000902222,0.000902222
35,107.217,1.08712,1.07509,1.43998,0.04446,0.33333,0.01885,0.00428,3.45188,7.9724,6.42277,0.000915492,0.000915492,0.000915492
36,110.548,1.05188,0.95578,1.36297,0.09456,0.16667,0.03768,0.00646,3.27579,23.7662,7.71042,0.00092797,0.00092797,0.00092797
37,113.367,1.00784,0.77776,1.31687,0.09456,0.16667,0.03768,0.00646,3.27579,23.7662,7.71042,0.000939656,0.000939656,0.000939656
38,115.939,1.13235,0.98747,1.36284,0.02144,0.5,0.01397,0.00199,3.42231,79.126,6.67091,0.00095055,0.00095055,0.00095055
39,118.489,1.09258,0.90007,1.44589,0.17189,0.28062,0.07457,0.02253,3.24259,11.9854,6.39041,0.000960652,0.000960652,0.000960652
40,120.992,0.93408,0.80086,1.27502,0.17189,0.28062,0.07457,0.02253,3.24259,11.9854,6.39041,0.000969962,0.000969962,0.000969962
41,123.971,1.0868,0.91283,1.36438,0.37643,0.66667,0.41686,0.20797,1.96865,9.42507,4.64797,0.00097848,0.00097848,0.00097848
42,127.419,0.95765,0.80062,1.32758,0.22789,0.33333,0.34941,0.19491,2.45361,8.41756,5.0514,0.000986206,0.000986206,0.000986206
43,130.554,0.97987,0.79866,1.33574,0.22789,0.33333,0.34941,0.19491,2.45361,8.41756,5.0514,0.00099314,0.00099314,0.00099314
44,133.03,1.09599,0.91459,1.39706,0.18672,0.16667,0.1861,0.14077,2.35285,6.36358,4.52033,0.000999282,0.000999282,0.000999282
45,135.483,1.13694,0.86184,1.48093,0.18672,0.16667,0.1861,0.14077,2.35285,6.36358,4.52033,0.00100463,0.00100463,0.00100463
46,138.001,0.92899,0.71055,1.28212,0.17908,0.33333,0.10451,0.03817,2.49782,4.81013,4.07194,0.00100919,0.00100919,0.00100919
47,140.65,0.9587,0.84094,1.31772,0.17908,0.33333,0.10451,0.03817,2.49782,4.81013,4.07194,0.00101296,0.00101296,0.00101296
48,144.037,0.95004,0.78159,1.31158,0.39021,0.33333,0.17743,0.06953,2.77574,5.40253,4.15468,0.00101593,0.00101593,0.00101593
49,147.288,1.02227,0.77063,1.31142,0.39021,0.33333,0.17743,0.06953,2.77574,5.40253,4.15468,0.00101811,0.00101811,0.00101811
50,149.772,0.9204,0.71937,1.32256,0.11318,0.16667,0.17496,0.0694,3.23907,7.82662,4.9709,0.0010195,0.0010195,0.0010195
51,152.225,0.92289,0.82582,1.30621,0.11318,0.16667,0.17496,0.0694,3.23907,7.82662,4.9709,0.00101,0.00101,0.00101
52,154.722,1.00004,0.72944,1.29686,1,0.16667,0.21017,0.0278,2.90725,6.70021,4.54516,0.0009902,0.0009902,0.0009902
53,157.236,0.81043,0.66122,1.22576,1,0.16667,0.21017,0.0278,2.90725,6.70021,4.54516,0.0009704,0.0009704,0.0009704
54,160.41,0.93676,0.74712,1.39941,0.55891,0.66667,0.50335,0.14301,2.39119,3.22446,3.64629,0.0009506,0.0009506,0.0009506
55,163.839,0.98565,0.69347,1.32491,0.55891,0.66667,0.50335,0.14301,2.39119,3.22446,3.64629,0.0009308,0.0009308,0.0009308
56,166.64,0.87546,0.71309,1.24453,0.63176,0.86036,0.8591,0.30745,2.15062,2.90068,3.62954,0.000911,0.000911,0.000911
57,169.126,0.85555,0.76229,1.24033,0.63176,0.86036,0.8591,0.30745,2.15062,2.90068,3.62954,0.0008912,0.0008912,0.0008912
58,171.66,0.86571,0.65941,1.23411,0.32214,0.66667,0.41968,0.16722,2.07099,3.85661,3.2787,0.0008714,0.0008714,0.0008714
59,174.112,0.86623,0.78343,1.24528,0.32214,0.66667,0.41968,0.16722,2.07099,3.85661,3.2787,0.0008516,0.0008516,0.0008516
60,177.08,0.94528,0.67472,1.29388,0.54231,0.33333,0.37602,0.11194,2.2976,4.50069,3.27566,0.0008318,0.0008318,0.0008318
61,180.337,0.80896,0.65166,1.17003,0.54231,0.33333,0.37602,0.11194,2.2976,4.50069,3.27566,0.000812,0.000812,0.000812
62,183.6,0.77118,0.61176,1.20116,0.18029,0.66667,0.13941,0.04955,2.4316,3.93431,3.17803,0.0007922,0.0007922,0.0007922
63,186.051,0.76245,0.59483,1.1889,0.18029,0.66667,0.13941,0.04955,2.4316,3.93431,3.17803,0.0007724,0.0007724,0.0007724
64,188.572,0.87251,0.623,1.23936,0.14155,0.5,0.16344,0.06605,2.10127,4.08872,3.04928,0.0007526,0.0007526,0.0007526
65,191.018,0.75965,0.55916,1.13149,0.14155,0.5,0.16344,0.06605,2.10127,4.08872,3.04928,0.0007328,0.0007328,0.0007328
66,193.671,0.8539,0.64303,1.2323,0.54229,0.33333,0.31723,0.08017,2.10448,3.83849,2.81741,0.000713,0.000713,0.000713
67,197.012,0.69405,0.53345,1.10943,0.54229,0.33333,0.31723,0.08017,2.10448,3.83849,2.81741,0.0006932,0.0006932,0.0006932
68,200.345,0.73459,0.59934,1.1976,0.80522,0.33333,0.36089,0.17376,2.21964,3.70096,2.88687,0.0006734,0.0006734,0.0006734
69,202.824,0.65318,0.50861,1.12585,0.80522,0.33333,0.36089,0.17376,2.21964,3.70096,2.88687,0.0006536,0.0006536,0.0006536
70,205.423,0.81429,0.57061,1.21378,0.31203,0.33333,0.18523,0.07814,2.12496,3.69038,2.64441,0.0006338,0.0006338,0.0006338
71,207.951,0.76672,0.56078,1.16504,0.31203,0.33333,0.18523,0.07814,2.12496,3.69038,2.64441,0.000614,0.000614,0.000614
72,210.837,0.75104,0.52133,1.11932,0.62523,0.33333,0.35781,0.19279,2.11317,2.87791,2.4318,0.0005942,0.0005942,0.0005942
73,214.082,0.63087,0.46139,1.10986,0.62523,0.33333,0.35781,0.19279,2.11317,2.87791,2.4318,0.0005744,0.0005744,0.0005744
74,217.5,0.76127,0.56375,1.19539,0.61359,0.33333,0.24033,0.10631,2.23255,2.90664,2.57007,0.0005546,0.0005546,0.0005546
75,220.001,0.72106,0.54429,1.1619,0.61359,0.33333,0.24033,0.10631,2.23255,2.90664,2.57007,0.0005348,0.0005348,0.0005348
76,222.533,0.75398,0.5819,1.18718,0.35115,0.5,0.3995,0.25752,1.84684,1.92001,2.06726,0.000515,0.000515,0.000515
77,224.988,0.67644,0.53275,1.14223,0.35115,0.5,0.3995,0.25752,1.84684,1.92001,2.06726,0.0004952,0.0004952,0.0004952
78,227.567,0.76947,0.53131,1.17047,0.8414,0.83333,0.97214,0.58131,1.46816,1.09329,2.04303,0.0004754,0.0004754,0.0004754
79,230.733,0.6967,0.53012,1.10003,0.8414,0.83333,0.97214,0.58131,1.46816,1.09329,2.04303,0.0004556,0.0004556,0.0004556
80,234.244,0.67104,0.52225,1.15105,0.92118,1,0.995,0.52619,1.44527,0.95958,2.30665,0.0004358,0.0004358,0.0004358
81,236.987,0.65145,0.53051,1.09317,0.92118,1,0.995,0.52619,1.44527,0.95958,2.30665,0.000416,0.000416,0.000416
82,239.546,0.77381,0.56762,1.23301,1,0.97606,0.995,0.43112,1.6407,1.0328,2.64512,0.0003962,0.0003962,0.0003962
83,242.002,0.67599,0.52569,1.1063,1,0.97606,0.995,0.43112,1.6407,1.0328,2.64512,0.0003764,0.0003764,0.0003764
84,244.519,0.61094,0.48033,1.05647,0.73317,1,0.89833,0.40564,1.61914,1.05772,2.63878,0.0003566,0.0003566,0.0003566
85,247.537,0.66692,0.51281,1.13659,0.73317,1,0.89833,0.40564,1.61914,1.05772,2.63878,0.0003368,0.0003368,0.0003368
86,250.885,0.59258,0.50506,1.06072,0.88681,0.83333,0.931,0.4402,1.53412,1.14003,2.56636,0.000317,0.000317,0.000317
87,253.811,0.61068,0.49272,1.08463,0.88681,0.83333,0.931,0.4402,1.53412,1.14003,2.56636,0.0002972,0.0002972,0.0002972
88,256.37,0.54324,0.42639,1.02833,0.90927,0.83333,0.915,0.44254,1.40707,0.96441,2.32982,0.0002774,0.0002774,0.0002774
89,258.837,0.57965,0.5007,1.05307,0.90927,0.83333,0.915,0.44254,1.40707,0.96441,2.32982,0.0002576,0.0002576,0.0002576
90,261.329,0.59571,0.46443,1.06264,0.92541,0.83333,0.92227,0.44888,1.2931,0.982,1.9667,0.0002378,0.0002378,0.0002378
91,267.732,0.5111,0.86631,1.00242,0.92541,0.83333,0.92227,0.44888,1.2931,0.982,1.9667,0.000218,0.000218,0.000218
92,271.535,0.52999,0.7224,1.02031,0.85219,1,0.97214,0.53222,1.26675,0.92582,1.91341,0.0001982,0.0001982,0.0001982
93,274.119,0.52496,0.73634,1.06721,0.85219,1,0.97214,0.53222,1.26675,0.92582,1.91341,0.0001784,0.0001784,0.0001784
94,276.657,0.49987,0.65459,0.99904,0.83703,1,0.94786,0.52323,1.27478,0.82913,1.94022,0.0001586,0.0001586,0.0001586
95,279.207,0.52205,0.52904,1.07487,0.83703,1,0.94786,0.52323,1.27478,0.82913,1.94022,0.0001388,0.0001388,0.0001388
96,281.828,0.51711,0.53775,1.00738,0.83901,1,0.92357,0.54698,1.25953,0.73433,1.91367,0.000119,0.000119,0.000119
97,285.166,0.50234,0.47898,1.02938,0.83901,1,0.92357,0.54698,1.25953,0.73433,1.91367,9.92e-05,9.92e-05,9.92e-05
98,288.606,0.55901,0.5252,1.1058,0.84227,1,0.97214,0.53431,1.26666,0.65041,1.90971,7.94e-05,7.94e-05,7.94e-05
99,291.181,0.46572,0.37626,0.962,0.84227,1,0.97214,0.53431,1.26666,0.65041,1.90971,5.96e-05,5.96e-05,5.96e-05
100,293.718,0.45122,0.44172,0.99831,0.83985,1,0.97214,0.5639,1.25327,0.61716,1.87983,3.98e-05,3.98e-05,3.98e-05
